rank,kpi_name,label,consensus_weight,direction,p_value,effect_size,cv,tier,xgb,rf,perm,mi
56,BALL_WIN_NUMBER_FROM_PITCH_POSITION_FINAL_THIRD,BALL_WIN_NUMBER_FROM_PITCH_POSITION_FINAL_THIRD,0.0030626448058786266,higher,0.8865111370327231,0.21449130887277087,0.23723452923436336,Tier 1 (Reliable),0.0030045446,0.0008383866291810386,0.0,0.020847087111210305
57,SUCCESSFUL_PASSES_TO_PACKING_ZONE_CM,SUCCESSFUL_PASSES_TO_PACKING_ZONE_CM,0.003053557328044641,higher,0.05781870885512344,0.19561129621262807,0.2265203344542903,Tier 1 (Reliable),0.0011405442,0.0019297742936871213,0.0,0.026685075153105586
58,SUCCESSFUL_PASSES_BY_ACTION_HEADER,SUCCESSFUL_PASSES_BY_ACTION_HEADER,0.003013048932641308,lower,0.4038183630142598,0.03359651054590759,0.19145078671980734,Tier 1 (Reliable),0.007215584,0.0,0.0,0.02300666562802567
59,BYPASSED_OPPONENTS_AT_PHASE_SECOND_BALL,BYPASSED_OPPONENTS_AT_PHASE_SECOND_BALL,0.003009226013525343,lower,0.010981061734184795,0.2814361408119136,0.2772544501589087,Tier 1 (Reliable),0.0010336764,0.004055852685502615,0.0,0.011404825391047924
60,CONCEDED_SHOT_XG,Shot-based xG,0.003005000014570652,lower,0.012347913928494889,0.26642254221143846,0.2595977625401001,Tier 1 (Reliable),0.0007256662,0.003112733280295883,0.0,0.016947303942876246
61,BALL_WIN_NUMBER_FROM_PITCH_POSITION_OPPONENT_BOX,BALL_WIN_NUMBER_FROM_PITCH_POSITION_OPPONENT_BOX,0.002996281614977613,higher,0.21851033823370025,0.30192341596594685,0.1846786228256902,Tier 1 (Reliable),0.00071376166,0.001268262969046167,0.0,0.019098096312426094
62,BALL_WIN_ADDED_TEAMMATES_DEFENDERS_FROM_OPPONENT_PACKING_ZONE_WL,BALL_WIN_ADDED_TEAMMATES_DEFENDERS_FROM_OPPONENT_PACKING_ZONE_WL,0.0029835742963684538,lower,0.9950744859582109,0.051245081952252115,0.40569516975692727,Tier 1 (Reliable),0.008353749,0.0030467173290778565,0.0,0.006718869514431791
63,SECOND_BALL_WIN,Second Ball Wins,0.002966368600955155,higher,0.0338502169173424,0.36813327669949636,0.23434560937242815,Tier 1 (Reliable),0.0006774314,0.0017621894803392239,0.0,0.010747583342535894
64,DISTANCE_TO_GOAL_COVERED_DRIBBLE,Distance Covered By Dribbles,0.002949779873626954,higher,0.009652943679967675,0.3823828207577069,0.3447896177223991,Tier 1 (Reliable),0.0010477678,0.0022348261746215296,0.0,0.006098563596246054
65,PXT_DRIBBLE_PRO,Progressive dribbles,0.002936814996822486,higher,0.023528520041021513,0.3477296916490498,0.47695271610841106,Tier 1 (Reliable),0.0023897614,0.0034580145390506866,0.0,0.0
66,BALL_LOSS_REMOVED_TEAMMATES_DEFENDERS_AT_PHASE_IN_POSSESSION,BALL_LOSS_REMOVED_TEAMMATES_DEFENDERS_AT_PHASE_IN_POSSESSION,0.002928544837403921,higher,0.0951636030302364,0.19828043334537737,0.4520911916860752,Tier 1 (Reliable),0.0015572759,0.003382471258540165,0.0,0.01794263382696526
67,PLAYDURATION,Play Duration,0.002926268291084183,lower,0.0003354741855379451,0.10201162446285274,0.03693078224391814,Tier 1 (Reliable),0.0017219706,0.009135030522986748,0.0,0.00877415459690023
68,BALL_WIN_NUMBER_FROM_OPPONENT_PACKING_ZONE_CB,BALL_WIN_NUMBER_FROM_OPPONENT_PACKING_ZONE_CB,0.002914112170848371,higher,0.0038280228643302982,0.2831637028367177,0.19981750859289765,Tier 1 (Reliable),0.001388837,0.003239358437421396,0.0,0.010572344161746905
69,BYPASSED_OPPONENTS_NUMBER_TO_LANE_LEFT_WING,BYPASSED_OPPONENTS_NUMBER_TO_LANE_LEFT_WING,0.0028944074490789835,higher,0.054808818043628776,0.2770046773286602,0.258609516227285,Tier 1 (Reliable),0.0014811425,0.0019124907640252382,0.0,0.014536649378309674
70,BYPASSED_OPPONENTS_NUMBER_BY_ACTION_CLEARANCE,BYPASSED_OPPONENTS_NUMBER_BY_ACTION_CLEARANCE,0.0028918931920592266,higher,0.43396904057797403,0.03056519201164898,0.14106845148424169,Tier 1 (Reliable),0.0122054,0.0002769754847709439,0.0,0.0
71,OFFENSIVE_TOUCHES_AT_PHASE_SECOND_BALL,OFFENSIVE_TOUCHES_AT_PHASE_SECOND_BALL,0.002886385748650716,higher,0.01791826356565954,0.4010834063175993,0.20757312886533585,Tier 1 (Reliable),0.0007940752,0.002824033561466176,0.0,0.002323217085284046
72,SUCCESSFUL_PASSES_AT_PHASE_ATTACKING_TRANSITION,SUCCESSFUL_PASSES_AT_PHASE_ATTACKING_TRANSITION,0.0028843646711316853,higher,0.017022997642281764,0.3779336547146581,0.2698951900944964,Tier 1 (Reliable),0.0017469102,0.0030408667528579792,0.0,0.0
73,PXT_SETPIECE_REG,Regressive set pieces,0.002869198983802707,higher,0.07986564400467158,0.14952074385408926,0.32954448763778327,Tier 1 (Reliable),0.0010676186,0.0029409355425913707,0.0,0.02492604121505071
74,SUCCESSFUL_PASSES_TO_PITCH_POSITION_MIDDLE_THIRD,SUCCESSFUL_PASSES_TO_PITCH_POSITION_MIDDLE_THIRD,0.0028686285937337343,higher,0.027598166464858558,0.3059873873381351,0.36334771163802027,Tier 1 (Reliable),0.0022136506,0.0020465440006082135,0.0,0.007870162954944915
75,REVERSE_PLAY_ADDED_OPPONENTS_AT_PHASE_IN_POSSESSION,REVERSE_PLAY_ADDED_OPPONENTS_AT_PHASE_IN_POSSESSION,0.002858097857825061,lower,0.0395107976534571,0.19140169176309352,0.25823687061191325,Tier 1 (Reliable),0.0013490058,0.0011123035414831622,0.0,0.025177362318842933
76,BALL_LOSS_REMOVED_TEAMMATES_BY_ACTION_GOAL_KICK,BALL_LOSS_REMOVED_TEAMMATES_BY_ACTION_GOAL_KICK,0.002850959199082182,lower,0.005688342283255609,0.3288638297271352,0.33384288177618504,Tier 1 (Reliable),0.0015348583,0.002858932281172471,0.0,0.00556377022447907
77,PXT_BLOCK,Blocks,0.002838343940387721,lower,0.010132064636282757,0.03976150177355407,1.2684121859980162,Tier 3 (Noise),0.0035709622,0.00816253001761823,0.0,0.00870810937824884
78,BYPASSED_OPPONENTS_NUMBER_BY_ACTION_LOW_PASS,BYPASSED_OPPONENTS_NUMBER_BY_ACTION_LOW_PASS,0.0028311200464730406,higher,0.028895121241641487,0.36951539728239885,0.4668701587215636,Tier 1 (Reliable),0.0,0.0016600282842285162,0.0,0.011182757301648083
79,BYPASSED_OPPONENTS_NUMBER_TO_LANE_RIGHT_HALF_SPACE,BYPASSED_OPPONENTS_NUMBER_TO_LANE_RIGHT_HALF_SPACE,0.002814689069668442,higher,0.04732742567650823,0.21362762231671836,0.24971040453424187,Tier 1 (Reliable),0.0016028848,0.0018342983266223015,0.0,0.01896155253984344
80,PXT_PASS_PRO,Progressive passes,0.002799111193933806,higher,0.019213748799875623,0.3302098395265047,0.4176611362768053,Tier 1 (Reliable),0.0037209275,0.0014438500168738428,0.0,0.0
81,CONCEDED_POSTSHOT_XG,Post-Shot xG,0.002776481519086175,lower,0.06064794656113664,0.17965840168028688,0.25747559320875935,Tier 1 (Reliable),0.0063071293,0.0026411077785275807,0.0,0.0
82,SHOT_CREATING_ACTIONS,Shot-Creating Actions,0.0027714718526991727,lower,0.04151789774181536,0.22774451433492945,0.12939569402967338,Tier 1 (Reliable),0.0,0.001371960789970873,0.0,0.02471987155947475
83,NEUTRAL_PASSES_FROM_PITCH_POSITION_OWN_BOX,NEUTRAL_PASSES_FROM_PITCH_POSITION_OWN_BOX,0.0027618438130828627,lower,0.09510691133229798,0.18015057333650183,0.29811790956421563,Tier 1 (Reliable),0.0051936093,0.00214075818067645,0.0,0.005740870473015303
84,BALL_LOSS_REMOVED_TEAMMATES_DEFENDERS_TO_PITCH_POSITION_MIDDLE_THIRD,BALL_LOSS_REMOVED_TEAMMATES_DEFENDERS_TO_PITCH_POSITION_MIDDLE_THIRD,0.002758511374121718,higher,0.11387583156024421,0.2589757731757515,0.4403491988875012,Tier 1 (Reliable),0.0013493642,0.0018807669287881775,0.0,0.014413627896659786
85,SECOND_BALL_START,Second Ball Starts,0.0027241512793870675,lower,0.2775500790168234,0.1006540469349048,0.3265761229516092,Tier 1 (Reliable),0.009292211,0.0008964788873743086,0.0,0.0
86,OFFENSIVE_TOUCHES,Offensive Touches,0.0027148978030341105,higher,0.008037640830910568,0.33950317214970865,0.32765630553647196,Tier 1 (Reliable),0.0018177718,0.003143569574123235,0.0,0.0
87,BYPASSED_OPPONENTS_RECEIVING,Bypassed Opponents Receiving,0.0027103493180647975,lower,0.02926124467658141,0.1264153175419686,0.3744812534837402,Tier 1 (Reliable),0.0021465675,0.0013828818308608223,0.0,0.02468903021641511
