playerId,name,age,status,origin_team,origin_comp,origin_median,n_matches,scouting_score,model_score,performance_score,model_probability,top3_strengths
1396,Ivan Lucic,30.0,STAYED,HNK Hajduk Split,hnl_1,0.507882825,40,42.36652236652236,15.873015873015872,82.1067821067821,0.012118924,FOOT_USAGE_RATIO_LEFT (87%) | FOOT_USAGE_RATIO_RIGHT (87%) | RATIO_PASSING_ACCURACY (66%)
191918,Simon Eriksson,19.0,STAYED,IF Elfsborg,allsvenskan,0.579539565,20,41.99134199134199,66.52236652236653,5.194805194805195,0.10593311,FOOT_USAGE_RATIO_LEFT (35%) | GK_PREVENTED_GOALS_POST_SHOT_XG_BY_ACTION1V1_AGAINST_GK_SHOT_RATIO (59%) | FOOT_USAGE_RATIO_RIGHT (35%)
70556,Jakob Golz,27.0,STAYED,Rot-Weiss Essen,bundesliga_3,0.557671055,88,41.875901875901874,41.702741702741704,42.13564213564214,0.03685885,DEFENSIVE_IMPECT_SCORE_PACKING (49%) | GK_PREVENTED_GOALS_POST_SHOT_XG_BY_ACTION1V1_AGAINST_GK_SHOT_RATIO (81%) | RATIO_PASSING_ACCURACY (47%)
43777,Anders Kristiansen,35.0,STAYED,Sarpsborg 08 FF,eliteserien,0.5777367099999999,64,41.73160173160173,59.74025974025974,14.71861471861472,0.07711269,FOOT_USAGE_RATIO_LEFT (50%) | RATIO_PASSING_ACCURACY (63%) | FOOT_USAGE_RATIO_RIGHT (50%)
77349,Nathan Yavorsky,24.0,STAYED,FC Versailles 78,france_3,0.513178375,17,41.673881673881674,36.65223665223665,49.2063492063492,0.030236684,DEFENSIVE_IMPECT_SCORE_PACKING (48%) | RATIO_PASSING_ACCURACY (52%) | FOOT_USAGE_RATIO_LEFT (35%)
67339,Stefan Drljaca,26.0,STAYED,SG Dynamo Dresden,bundesliga_3,0.557671055,16,41.44300144300144,17.893217893217894,76.76767676767676,0.01337946,RATIO_PASSING_ACCURACY (87%) | DEFENSIVE_IMPECT_SCORE_PACKING (53%) | GK_SUCCESSFUL_LAUNCHES_PERCENT (90%)
21358,Wouter van der Steen,35.0,STAYED,Helmond Sport,keuken_kampioen_divisie,0.433012,98,41.41414141414141,44.877344877344875,36.21933621933622,0.042954277,RATIO_PASSING_ACCURACY (56%) | DEFENSIVE_IMPECT_SCORE_PACKING (44%) | GOAL_KICK_SCORE (72%)
29032,Marko Malenica,32.0,STAYED,NK Osijek,hnl_1,0.507882825,79,41.38528138528139,40.115440115440116,43.290043290043286,0.033884943,FOOT_USAGE_RATIO_LEFT (67%) | FOOT_USAGE_RATIO_RIGHT (67%) | GK_PREVENTED_GOALS_POST_SHOT_XG_BY_ACTION1V1_AGAINST_GK_SHOT_RATIO (89%)
29165,Cătălin Căbuz,29.0,STAYED,FC Hermannstadt,superliga_romania,0.456571,61,41.35642135642136,19.76911976911977,73.73737373737373,0.015517416,FOOT_USAGE_RATIO_LEFT (71%) | FOOT_USAGE_RATIO_RIGHT (72%) | DEFENSIVE_IMPECT_SCORE_PACKING (63%)
45952,Jannick Theißen,28.0,STAYED,1. FC Düren,regionalliga_west,0.37057419,55,40.750360750360755,24.81962481962482,64.64646464646465,0.01901731,FOOT_USAGE_RATIO_LEFT (75%) | DEFENSIVE_IMPECT_SCORE_PACKING (81%) | FOOT_USAGE_RATIO_RIGHT (76%)
3724,Hugo Keto,28.0,STAYED,Sandefjord Fotball,eliteserien,0.5777367099999999,96,40.721500721500725,54.97835497835498,19.336219336219337,0.063202865,GK_PREVENTED_GOALS_POST_SHOT_XG_BY_ACTION1V1_AGAINST_GK_SHOT_RATIO (87%) | RATIO_PASSING_ACCURACY (58%) | DIAGONAL_PASS_SCORE (71%)
20794,David Mitov Nilsson,35.0,STAYED,Sarpsborg 08 FF,eliteserien,0.5777367099999999,57,40.086580086580085,59.884559884559884,10.38961038961039,0.077835895,FOOT_USAGE_RATIO_LEFT (50%) | FOOT_USAGE_RATIO_RIGHT (50%) | GOAL_KICK_SCORE (77%)
68641,Metod Jurhar,28.0,STAYED,FC Koper,prva_liga,0.383098135,55,39.97113997113997,59.307359307359306,10.966810966810966,0.07626973,RATIO_PASSING_ACCURACY (79%) | GK_PREVENTED_GOALS_POST_SHOT_XG_BY_ACTION1V1_AGAINST_GK_SHOT_RATIO (78%) | FOOT_USAGE_RATIO_LEFT (27%)
1236,Max Grün,38.0,STAYED,SV Viktoria Aschaffenburg,regionalliga_bayern,0.28719256,80,39.7979797979798,3.0303030303030303,94.94949494949495,0.0042782454,DEFENSIVE_IMPECT_SCORE_PACKING (90%) | FOOT_USAGE_RATIO_LEFT (80%) | FOOT_USAGE_RATIO_RIGHT (80%)
221526,Mohammed Abu Nil,24.0,STAYED,Ihud Bnei Sachnin,ligat_haal,0.5,46,39.7979797979798,14.862914862914863,77.2005772005772,0.011774669,FOOT_USAGE_RATIO_LEFT (93%) | FOOT_USAGE_RATIO_RIGHT (93%) | DEFENSIVE_IMPECT_SCORE_PACKING (69%)
170283,Xavier Gies,29.0,STAYED,FCV Dender EH,challenger_pro_league,0.34851325,54,39.682539682539684,48.62914862914863,26.262626262626267,0.05026417,DEFENSIVE_IMPECT_SCORE_PACKING (56%) | RATIO_PASSING_ACCURACY (55%) | GK_PREVENTED_GOALS_POST_SHOT_XG_BY_ACTION1V1_AGAINST_GK_SHOT_RATIO (75%)
