rank,feature_name,consensus_weight,direction,significant,boruta_confirmed,stability_pct
50,BALL_WIN_NUMBER_BY_ACTION_HEADER,0.0036801094241384925,higher,False,False,42.0
51,BALL_LOSS_REMOVED_TEAMMATES_DEFENDERS_BY_ACTION_CHIPPED_PASS,0.003679321764887273,higher,False,False,26.0
52,BALL_LOSS_REMOVED_TEAMMATES_DEFENDERS_FROM_LANE_CENTER,0.0036788575912151977,higher,False,False,32.0
53,BYPASSED_OPPONENTS_AT_PHASE_IN_POSSESSION,0.0036560400387325586,higher,False,False,18.0
54,SUCCESSFUL_PASSES_TO_PACKING_ZONE_WL,0.003617510228644978,higher,False,False,22.0
55,SUCCESSFUL_PASSES_TO_LANE_LEFT_WING,0.003605151082559792,higher,False,False,18.0
56,BALL_LOSS_REMOVED_TEAMMATES_DEFENDERS_TO_PITCH_POSITION_OWN_BOX,0.0035768653944339658,higher,False,False,22.0
57,CONCEDED_POSTSHOT_XG,0.0035617702309516538,lower,False,False,38.0
58,BYPASSED_OPPONENTS_TO_LANE_RIGHT_WING,0.0035513871564744138,higher,False,False,24.0
59,BYPASSED_OPPONENTS_NUMBER,0.0035432132673774413,higher,False,False,14.000000000000002
60,SUCCESSFUL_PASSES_TO_LANE_CENTER,0.0035175772246296933,higher,False,False,24.0
61,BALL_WIN_NUMBER_BY_ACTION_CATCH,0.0034909974703811737,higher,False,False,28.000000000000004
62,BYPASSED_OPPONENTS_FROM_PITCH_POSITION_FIRST_THIRD,0.0034777371341603368,higher,False,False,20.0
63,BALL_LOSS_REMOVED_TEAMMATES_TO_PITCH_POSITION_OWN_BOX,0.0034602920573765478,higher,False,False,26.0
64,OFFENSIVE_TOUCHES_AT_PHASE_SECOND_BALL,0.0034233316193266953,higher,False,False,18.0
65,BALL_WIN_NUMBER_FROM_OPPONENT_PACKING_ZONE_WR,0.0034068191084749492,higher,False,False,22.0
66,BALL_LOSS_REMOVED_TEAMMATES_TO_OPPONENT_PACKING_ZONE_CM,0.0033745839292596475,lower,False,False,26.0
67,OFFENSIVE_TOUCHES_IN_PITCH_POSITION_FIRST_THIRD,0.003366598364392104,higher,False,False,24.0
68,SUCCESSFUL_PASSES_FROM_PITCH_POSITION_OWN_BOX,0.0033629046694095884,higher,False,False,20.0
69,BYPASSED_OPPONENTS_BY_ACTION_DIAGONAL_PASS,0.0033534144157119842,higher,False,False,18.0
70,BALL_WIN_NUMBER_FROM_OPPONENT_PACKING_ZONE_CM,0.0033363694178384796,higher,False,False,26.0
71,BALL_LOSS_REMOVED_TEAMMATES_DEFENDERS_BY_ACTION_GOAL_KICK,0.003326175420559544,lower,False,False,44.0
72,NEUTRAL_PASSES_FROM_LANE_CENTER,0.0033176831587297434,lower,False,False,24.0
73,BYPASSED_OPPONENTS_NUMBER_TO_LANE_LEFT_HALF_SPACE,0.0033057810567966436,higher,False,False,12.0
74,BYPASSED_DEFENDERS_TO_LANE_RIGHT_HALF_SPACE,0.0033024525878033303,higher,False,False,12.0
75,BYPASSED_OPPONENTS_NUMBER_TO_LANE_LEFT_WING,0.0033015229052055914,higher,False,False,18.0
