playerId,name,status,age,origin_team,origin_comp,origin_median,origin_matches,raw_probability,scouting_score
104150,Malte Brüning,BENCH,21.0,Hamburger SV II,regionalliga_nord,0.26403716,1,0.4098,43.1
41348,Dejan Stojanovic,STAYED,32.0,SCR Altach,bundesliga_austria,0.6016963049999999,75,0.0697,43.0
53522,Matis Carvalho,STAYED,26.0,Le Puy Foot 43 Auvergne,france_3,0.513178375,21,0.0878,42.9
33244,Yehvann Diouf,STAYED,26.0,Stade Reims,ligue1,0.7712210150000001,84,0.0598,42.7
95002,Bartosz Mrozek,STAYED,26.0,Lech Posen,ekstraklasa,0.6288633,87,0.0819,42.6
109353,Elias Bethke,STAYED,22.0,FC Energie Cottbus,bundesliga_3,0.557671055,40,0.0682,42.4
13548,Jesper Hansen,STAYED,40.0,Aarhus GF,superligaen,0.6607162449999999,139,0.0861,42.3
51833,Daniel Schmidt,DROPPED,34.0,VV St. Truiden,belgian_pro_league,0.67107149,31,0.1356,42.1
133147,Gasper Tratnik,PLAYS,26.0,ND Primorje,prva_liga,0.383098135,18,0.1346,42.0
85070,Radomir Novakovic,STAYED,26.0,SV Eintracht Trier 05,regionalliga_suedwest,0.405667995,50,0.1639,41.9
148849,Kewin Komar,STAYED,22.0,Puszcza Niepolomice,ekstraklasa,0.6288633,36,0.0931,41.7
47196,Ivan Provedel,STAYED,31.0,Lazio Rom,serie_a,0.82,85,0.0619,41.6
116723,Pavlo Isenko,PLAYS,22.0,Vorskla Poltava,premier_liga_ukraine,0.401354885,29,0.2095,41.4
112089,Tjark Ernst,STAYED,22.0,Hertha BSC,bundesliga_2,0.710514535,77,0.0475,41.3
49491,Elia Caprile,STAYED,24.0,Cagliari Calcio,serie_a,0.82,72,0.0785,41.1
34932,Benjamin Siegrist,BENCH,34.0,FC Rapid Bukarest,superliga_romania,0.456571,13,0.0593,41.0
67458,Beau Reus,STAYED,24.0,SK Beveren,challenger_pro_league,0.34851325,84,0.0363,40.9
57792,Nediljko Labrovic,PLAYS,26.0,HNK Rijeka,hnl_1,0.507882825,35,0.3459,40.7
178099,In-jae Hwang,STAYED,31.0,Pohang Steelers,k_league_1,0.55,62,0.0765,40.6
2463,Radoslaw Majecki,PLAYS,26.0,Cercle Brügge,belgian_pro_league,0.67107149,34,0.3649,40.4
53775,Tom Kretzschmar,STAYED,27.0,FC 08 Homburg,regionalliga_suedwest,0.405667995,53,0.0964,40.3
75872,Robin Roefs,STAYED,23.0,NEC Nijmegen,eredivisie,0.6917069149999999,37,0.0759,40.1
20794,David Mitov Nilsson,STAYED,35.0,Sarpsborg 08 FF,eliteserien,0.5777367099999999,63,0.1529,40.0
32298,Mads Hedenstad,STAYED,25.0,Lillestrøm SK,eliteserien,0.5777367099999999,107,0.1566,39.9
5911,Maduka Okoye,PLAYS,26.0,Sparta Rotterdam,eredivisie,0.6917069149999999,29,0.3676,39.7
47231,Filip Stanković,PLAYS,24.0,FC Volendam,eredivisie,0.6917069149999999,33,0.087,39.6
78774,Marian Aioani,STAYED,26.0,FC Rapid Bukarest,superliga_romania,0.456571,42,0.117,39.4
106769,Kiany Vroman,STAYED,22.0,KSK Lierse Kempenzonen,challenger_pro_league,0.34851325,17,0.1423,39.3
43777,Anders Kristiansen,STAYED,35.0,Sarpsborg 08 FF,eliteserien,0.5777367099999999,64,0.3672,39.1
75225,Luca Giossa,STAYED,25.0,Miramar Misiones,primera_division_paraguay,0.4,31,0.0722,39.0
37748,Rafal Leszczynski,STAYED,33.0,Śląsk Wrocław,ekstraklasa,0.6288633,89,0.094,38.9
103873,Magnus Sjøeng,STAYED,23.0,Vålerenga Fotball,eliteserien,0.5777367099999999,44,0.0802,38.7
65894,Xavier Dziekonski,STAYED,22.0,Korona Kielce,ekstraklasa,0.6288633,69,0.0724,38.6
1255,Timo Horn,PLAYS,32.0,Red Bull Salzburg,bundesliga_austria,0.6016963049999999,3,0.3984,38.4
66533,Antoine Lejoly,DROPPED,27.0,Beerschot V.A.,belgian_pro_league,0.67107149,3,0.2402,38.3
21529,Erwin Mulder,STAYED,37.0,SC Heerenveen,eredivisie,0.6917069149999999,53,0.2307,38.1
221526,Mohammed Abu Nil,STAYED,24.0,Ihud Bnei Sachnin,ligat_haal,0.5,46,0.0782,38.0
1376,Robin Zentner,STAYED,31.0,1. FSV Mainz 05,bundesliga_1,0.82647051,71,0.0856,37.9
5309,Djordje Nikolic,DROPPED,28.0,Újpest FC,nemzeti_bajnoksag,0.53889144,5,0.3223,37.7
1396,Ivan Lucic,STAYED,30.0,HNK Hajduk Split,hnl_1,0.507882825,56,0.0568,37.6
15890,Go Hatano,STAYED,27.0,FC Tokyo,j1_league,0.614975735,60,0.0832,37.4
45963,Lucas Margueron,STAYED,25.0,RFC Seraing,challenger_pro_league,0.34851325,39,0.0977,37.3
34475,Matus Macik,BENCH,32.0,SK Sigma Olmütz,chance_liga,0.345279435,12,0.1663,37.1
78816,Jonas Krumrey,PLAYS,22.0,Lyngby BK,superligaen,0.6607162449999999,3,0.1295,37.0
205,Péter Gulácsi,STAYED,35.0,RasenBallsport Leipzig,bundesliga_1,0.82647051,63,0.106,36.9
668,Ron-Robert Zieler,STAYED,37.0,Hannover 96,bundesliga_2,0.710514535,68,0.1442,36.7
16146,Jun-su Ahn,STAYED,28.0,Suwon FC,k_league_1,0.55,64,0.074,36.6
161408,David Andersson,STAYED,22.0,IFK Norrköping,allsvenskan,0.579539565,29,0.0555,36.4
