rank,feature,feature_name,consensus_weight,direction,p_value,p_fdr,significant,effect_size,boruta_fraction,boruta_confirmed,stability_pct,xgb_importance
37,mean_BALL_LOSS_REMOVED_TEAMMATES_TO_OPPONENT_PACKING_ZONE_IB,BALL_LOSS_REMOVED_TEAMMATES_TO_OPPONENT_PACKING_ZONE_IB,0.004166198328258654,higher,0.045999186263562676,0.24115813246874407,False,0.293885627083594,0.0,False,28.000000000000004,0.004469191
38,mean_BYPASSED_OPPONENTS_TO_PACKING_ZONE_DM,BYPASSED_OPPONENTS_TO_PACKING_ZONE_DM,0.004048553036628001,higher,0.014385361200971981,0.15526232557590108,False,0.3632694081116333,0.04,False,26.0,0.0010548623
39,mean_UNSUCCESSFUL_PASSES_AT_PHASE_SET_PIECE,UNSUCCESSFUL_PASSES_AT_PHASE_SET_PIECE,0.004032332106083677,lower,0.0011676204411344058,0.06744273818792866,False,-0.31049812624270295,0.08,False,30.0,0.0012136096
40,mean_BYPASSED_OPPONENTS_NUMBER_TO_LANE_CENTER,BYPASSED_OPPONENTS_NUMBER_TO_LANE_CENTER,0.004020718903213851,higher,0.020795563017536045,0.16283983244240088,False,0.2727603898852038,0.0,False,24.0,0.005425061
41,mean_SUCCESSFUL_PASSES_TO_PACKING_ZONE_DM,SUCCESSFUL_PASSES_TO_PACKING_ZONE_DM,0.004007245769596428,higher,0.010487173522590336,0.14250218139519807,False,0.4290699888411208,0.02,False,16.0,0.001169044
42,mean_PXT_PASS,PXT_PASS,0.003996479637634298,higher,0.009195096093647525,0.13703659339565022,False,0.39496882015359236,0.02,False,24.0,0.0004664594
43,mean_NEUTRAL_PASSES_BY_FOOT_RIGHT,NEUTRAL_PASSES_BY_FOOT_RIGHT,0.003979373205616841,higher,0.7071441542021613,0.8863691299379717,False,0.012913106123003958,0.4,False,30.0,0.0059021576
44,mean_NEUTRAL_PASSES_BY_FOOT_LEFT,NEUTRAL_PASSES_BY_FOOT_LEFT,0.0038728984238732868,lower,0.5870078756698355,0.8290668293035518,False,-0.13711391319436952,0.34,False,34.0,0.00097004947
45,mean_BYPASSED_OPPONENTS_NUMBER_TO_LANE_RIGHT_HALF_SPACE,BYPASSED_OPPONENTS_NUMBER_TO_LANE_RIGHT_HALF_SPACE,0.003820124200255371,higher,0.00283770273045047,0.07592156851208674,False,0.3444263186198703,0.02,False,24.0,0.0013892322
46,mean_DEFENSIVE_TOUCHES_IN_LANE_RIGHT_HALF_SPACE,DEFENSIVE_TOUCHES_IN_LANE_RIGHT_HALF_SPACE,0.003767214846026784,higher,0.0031766932305941045,0.07592156851208674,False,0.30985287845399617,0.0,False,30.0,0.0013250818
47,mean_SUCCESSFUL_PASSES_TO_PITCH_POSITION_MIDDLE_THIRD,SUCCESSFUL_PASSES_TO_PITCH_POSITION_MIDDLE_THIRD,0.0037586932030865138,higher,0.008566695918592685,0.13192711714632738,False,0.31337962055389035,0.02,False,28.000000000000004,0.0012557275
48,mean_BYPASSED_OPPONENTS_NUMBER_FROM_LANE_LEFT_HALF_SPACE,BYPASSED_OPPONENTS_NUMBER_FROM_LANE_LEFT_HALF_SPACE,0.0037542301079802917,higher,0.0031434525876051435,0.07592156851208674,False,0.2935633170912869,0.04,False,20.0,0.0034787464
49,mean_BYPASSED_OPPONENTS_RECEIVING_AT_PHASE_SECOND_BALL,BYPASSED_OPPONENTS_RECEIVING_AT_PHASE_SECOND_BALL,0.003747387339348148,higher,0.935411661889035,0.9668013149725596,False,0.10715943836434513,0.0,False,24.0,0.010042081
50,mean_BALL_WIN_NUMBER_BY_ACTION_HEADER,BALL_WIN_NUMBER_BY_ACTION_HEADER,0.0036801094241384925,higher,0.5644407872918847,0.8104704162714836,False,0.11595251103761971,0.0,False,42.0,0.005112837
51,mean_BALL_LOSS_REMOVED_TEAMMATES_DEFENDERS_BY_ACTION_CHIPPED_PASS,BALL_LOSS_REMOVED_TEAMMATES_DEFENDERS_BY_ACTION_CHIPPED_PASS,0.003679321764887273,higher,0.05122335639134267,0.257688320095876,False,0.29489799520974574,0.0,False,26.0,0.002357002
52,mean_BALL_LOSS_REMOVED_TEAMMATES_DEFENDERS_FROM_LANE_CENTER,BALL_LOSS_REMOVED_TEAMMATES_DEFENDERS_FROM_LANE_CENTER,0.0036788575912151977,higher,0.08732433154158083,0.33124573793365847,False,0.2154910832288195,0.02,False,32.0,0.0034668748
53,mean_BYPASSED_OPPONENTS_AT_PHASE_IN_POSSESSION,BYPASSED_OPPONENTS_AT_PHASE_IN_POSSESSION,0.0036560400387325586,higher,0.012172131601995406,0.15526232557590108,False,0.34680583752695177,0.0,False,18.0,0.0022311183
54,mean_SUCCESSFUL_PASSES_TO_PACKING_ZONE_WL,SUCCESSFUL_PASSES_TO_PACKING_ZONE_WL,0.003617510228644978,higher,0.08659394628885314,0.33124573793365847,False,0.21347660483165326,0.02,False,22.0,0.005583834
55,mean_SUCCESSFUL_PASSES_TO_LANE_LEFT_WING,SUCCESSFUL_PASSES_TO_LANE_LEFT_WING,0.003605151082559792,higher,0.01451514836163849,0.15526232557590108,False,0.3203909522146977,0.0,False,18.0,0.0029294228
56,mean_BALL_LOSS_REMOVED_TEAMMATES_DEFENDERS_TO_PITCH_POSITION_OWN_BOX,BALL_LOSS_REMOVED_TEAMMATES_DEFENDERS_TO_PITCH_POSITION_OWN_BOX,0.0035768653944339658,higher,0.017621910518070216,0.1565638972951623,False,0.27263087268294817,0.04,False,22.0,0.0028420256
57,mean_CONCEDED_POSTSHOT_XG,CONCEDED_POSTSHOT_XG,0.0035617702309516538,lower,0.14713721246815437,0.4525277081664788,False,-0.11858938464750474,0.0,False,38.0,0.0053429874
58,mean_BYPASSED_OPPONENTS_TO_LANE_RIGHT_WING,BYPASSED_OPPONENTS_TO_LANE_RIGHT_WING,0.0035513871564744138,higher,0.2202812931082756,0.5591755901979304,False,0.2969728825539294,0.02,False,24.0,0.0017157092
59,mean_BYPASSED_OPPONENTS_NUMBER,BYPASSED_OPPONENTS_NUMBER,0.0035432132673774413,higher,0.009878938983101729,0.1383051457634242,False,0.3846034178998379,0.0,False,14.000000000000002,0.0012060967
60,mean_SUCCESSFUL_PASSES_TO_LANE_CENTER,SUCCESSFUL_PASSES_TO_LANE_CENTER,0.0035175772246296933,higher,0.018616376664987784,0.15927344480045105,False,0.31682019795623295,0.0,False,24.0,0.0011828204
61,mean_BALL_WIN_NUMBER_BY_ACTION_CATCH,BALL_WIN_NUMBER_BY_ACTION_CATCH,0.0034909974703811737,higher,0.030555439809244075,0.19904655714948297,False,0.17504876683577525,0.08,False,28.000000000000004,0.0037998084
62,mean_BYPASSED_OPPONENTS_FROM_PITCH_POSITION_FIRST_THIRD,BYPASSED_OPPONENTS_FROM_PITCH_POSITION_FIRST_THIRD,0.0034777371341603368,higher,0.07301860786930044,0.29591751610190176,False,0.31473030404169444,0.0,False,20.0,0.001996418
63,mean_BALL_LOSS_REMOVED_TEAMMATES_TO_PITCH_POSITION_OWN_BOX,BALL_LOSS_REMOVED_TEAMMATES_TO_PITCH_POSITION_OWN_BOX,0.0034602920573765478,higher,0.2793446945986353,0.6087606080404222,False,0.25348398959591456,0.0,False,26.0,0.002723075
64,mean_OFFENSIVE_TOUCHES_AT_PHASE_SECOND_BALL,OFFENSIVE_TOUCHES_AT_PHASE_SECOND_BALL,0.0034233316193266953,higher,0.0715215890320632,0.29591751610190176,False,0.32394588477087827,0.0,False,18.0,0.0018480333
65,mean_BALL_WIN_NUMBER_FROM_OPPONENT_PACKING_ZONE_WR,BALL_WIN_NUMBER_FROM_OPPONENT_PACKING_ZONE_WR,0.0034068191084749492,higher,0.022708437934425663,0.16921448912426865,False,0.30145775097542316,0.06,False,22.0,0.0005304989
66,mean_BALL_LOSS_REMOVED_TEAMMATES_TO_OPPONENT_PACKING_ZONE_CM,BALL_LOSS_REMOVED_TEAMMATES_TO_OPPONENT_PACKING_ZONE_CM,0.0033745839292596475,lower,0.38047615127748957,0.7031199275608008,False,-0.1590222394061987,0.0,False,26.0,0.00572413
