rank,kpi_name,label,consensus_weight,category,direction,p_value,effect_size,xgb_importance,rf_importance,perm_importance,mutual_info,definition,parent_kpi,context
66,BALL_LOSS_REMOVED_TEAMMATES_DEFENDERS_AT_PHASE_IN_POSSESSION,BALL_LOSS_REMOVED_TEAMMATES_DEFENDERS_AT_PHASE_IN_POSSESSION,0.002928544837403921,Contextual (BALL_LOSS_REMOVED_TEAMMATES_DE),higher,0.0951636030302364,0.19828043334537737,0.0015572759,0.003382471258540165,0.0,0.01794263382696526,,BALL_LOSS_REMOVED_TEAMMATES_DEFENDERS,In Possession Phase
67,PLAYDURATION,Play Duration,0.002926268291084183,Base KPI,lower,0.0003354741855379451,0.10201162446285274,0.0017219706,0.009135030522986748,0.0,0.00877415459690023,Match duration in seconds. Every second of the match is listed here (including injury time).,,
68,BALL_WIN_NUMBER_FROM_OPPONENT_PACKING_ZONE_CB,BALL_WIN_NUMBER_FROM_OPPONENT_PACKING_ZONE_CB,0.002914112170848371,Contextual (BALL_WIN_NUMBER),higher,0.0038280228643302982,0.2831637028367177,0.001388837,0.003239358437421396,0.0,0.010572344161746905,,BALL_WIN_NUMBER,Centre-Back Zone
69,BYPASSED_OPPONENTS_NUMBER_TO_LANE_LEFT_WING,BYPASSED_OPPONENTS_NUMBER_TO_LANE_LEFT_WING,0.0028944074490789835,Contextual (BYPASSED_OPPONENTS_NUMBER),higher,0.054808818043628776,0.2770046773286602,0.0014811425,0.0019124907640252382,0.0,0.014536649378309674,,BYPASSED_OPPONENTS_NUMBER,Left Wing
70,BYPASSED_OPPONENTS_NUMBER_BY_ACTION_CLEARANCE,BYPASSED_OPPONENTS_NUMBER_BY_ACTION_CLEARANCE,0.0028918931920592266,Contextual (BYPASSED_OPPONENTS_NUMBER),higher,0.43396904057797403,0.03056519201164898,0.0122054,0.0002769754847709439,0.0,0.0,,BYPASSED_OPPONENTS_NUMBER,Clearance with Foot
71,OFFENSIVE_TOUCHES_AT_PHASE_SECOND_BALL,OFFENSIVE_TOUCHES_AT_PHASE_SECOND_BALL,0.002886385748650716,Contextual (OFFENSIVE_TOUCHES),higher,0.01791826356565954,0.4010834063175993,0.0007940752,0.002824033561466176,0.0,0.002323217085284046,,OFFENSIVE_TOUCHES,Second Ball Phase
72,SUCCESSFUL_PASSES_AT_PHASE_ATTACKING_TRANSITION,SUCCESSFUL_PASSES_AT_PHASE_ATTACKING_TRANSITION,0.0028843646711316853,Contextual (SUCCESSFUL_PASSES),higher,0.017022997642281764,0.3779336547146581,0.0017469102,0.0030408667528579792,0.0,0.0,,SUCCESSFUL_PASSES,Attacking Transition Phase
73,PXT_SETPIECE_REG,Regressive set pieces,0.002869198983802707,Base KPI,higher,0.07986564400467158,0.14952074385408926,0.0010676186,0.0029409355425913707,0.0,0.02492604121505071,Sub-KPI of PXT_SETPIECE. The negative change of a team’s goal threat through set-pieces to the teammate. Every set-piece that lowers the goal threat and ends with the teammate is counted here.,,
74,SUCCESSFUL_PASSES_TO_PITCH_POSITION_MIDDLE_THIRD,SUCCESSFUL_PASSES_TO_PITCH_POSITION_MIDDLE_THIRD,0.0028686285937337343,Contextual (SUCCESSFUL_PASSES),higher,0.027598166464858558,0.3059873873381351,0.0022136506,0.0020465440006082135,0.0,0.007870162954944915,,SUCCESSFUL_PASSES,Second Third
75,REVERSE_PLAY_ADDED_OPPONENTS_AT_PHASE_IN_POSSESSION,REVERSE_PLAY_ADDED_OPPONENTS_AT_PHASE_IN_POSSESSION,0.002858097857825061,Contextual (REVERSE_PLAY_ADDED_OPPONENTS),lower,0.0395107976534571,0.19140169176309352,0.0013490058,0.0011123035414831622,0.0,0.025177362318842933,,REVERSE_PLAY_ADDED_OPPONENTS,In Possession Phase
