rank,kpi_name,label,consensus_weight,category,direction,p_value,effect_size,xgb_importance,rf_importance,perm_importance,mutual_info,definition,parent_kpi,context
200,UNSUCCESSFUL_PASSES_FROM_LANE_RIGHT_HALF_SPACE,UNSUCCESSFUL_PASSES_FROM_LANE_RIGHT_HALF_SPACE,0.0020075714470236122,Contextual (UNSUCCESSFUL_PASSES),higher,0.6141835372677265,0.015526425262175588,0.006476985,0.0018763513570119639,0.0,0.0034286534805467728,,UNSUCCESSFUL_PASSES,Right Half-Space
201,REVERSE_PLAY_ADDED_OPPONENTS_FROM_PITCH_POSITION_FIRST_THIRD,REVERSE_PLAY_ADDED_OPPONENTS_FROM_PITCH_POSITION_FIRST_THIRD,0.0020063121446185577,Contextual (REVERSE_PLAY_ADDED_OPPONENTS),lower,0.05100395742930802,0.23671476227120125,0.0014992825,0.0008769472507427793,0.0,0.005215847867163781,,REVERSE_PLAY_ADDED_OPPONENTS,First Third
202,BALL_LOSS_REMOVED_TEAMMATES_DEFENDERS_FROM_PITCH_POSITION_OWN_BOX,BALL_LOSS_REMOVED_TEAMMATES_DEFENDERS_FROM_PITCH_POSITION_OWN_BOX,0.0020052797232511465,Contextual (BALL_LOSS_REMOVED_TEAMMATES_DE),higher,0.13919050564691848,0.24286437309180445,0.0013378129,0.0021235019132948645,0.0,0.0013991073867065662,,BALL_LOSS_REMOVED_TEAMMATES_DEFENDERS,Own Box
203,BALL_WIN_NUMBER_FROM_OPPONENT_PACKING_ZONE_FBR,BALL_WIN_NUMBER_FROM_OPPONENT_PACKING_ZONE_FBR,0.002005115214299213,Contextual (BALL_WIN_NUMBER),lower,0.029684411438385475,0.17668812116937258,0.0016834348,0.0017816992771249574,0.0,0.007469030786870778,,BALL_WIN_NUMBER,Full-Back Right Zone
204,BALL_LOSS_ADDED_OPPONENTS_AT_PHASE_IN_POSSESSION,BALL_LOSS_ADDED_OPPONENTS_AT_PHASE_IN_POSSESSION,0.0020046636406187723,Contextual (BALL_LOSS_ADDED_OPPONENTS),higher,0.5378816352089162,0.13603208378532697,0.0008942448,0.001160164250145367,0.0,0.016521536317977592,,BALL_LOSS_ADDED_OPPONENTS,In Possession Phase
205,UNSUCCESSFUL_PASSES_FROM_PITCH_POSITION_FIRST_THIRD,UNSUCCESSFUL_PASSES_FROM_PITCH_POSITION_FIRST_THIRD,0.001994021714358894,Contextual (UNSUCCESSFUL_PASSES),higher,0.8985126388904818,0.026524239154983795,0.003492564,0.0017635508508791417,0.0,0.014550902750282146,,UNSUCCESSFUL_PASSES,First Third
206,SUCCESSFUL_PASSES_FROM_LANE_LEFT_HALF_SPACE,SUCCESSFUL_PASSES_FROM_LANE_LEFT_HALF_SPACE,0.001992908214598932,Contextual (SUCCESSFUL_PASSES),higher,0.12102284000150725,0.24709128625470006,0.0010383052,0.001742659730567215,0.0,0.0031526341351193476,,SUCCESSFUL_PASSES,Left Half-Space
207,BALL_WIN_ADDED_TEAMMATES_AT_PHASE_SECOND_BALL,BALL_WIN_ADDED_TEAMMATES_AT_PHASE_SECOND_BALL,0.001983580630248215,Contextual (BALL_WIN_ADDED_TEAMMATES),higher,0.09326736122304069,0.27421232741855434,0.0006677927,0.002341532648148528,0.0,0.0,,BALL_WIN_ADDED_TEAMMATES,Second Ball Phase
208,UNSUCCESSFUL_PASSES_BY_ACTION_FREE_KICK,UNSUCCESSFUL_PASSES_BY_ACTION_FREE_KICK,0.001981912814463884,Contextual (UNSUCCESSFUL_PASSES),lower,0.285397660064992,0.13809881009959787,0.0017074792,0.001541758121283506,0.0,0.011427676947715959,,UNSUCCESSFUL_PASSES,Free Kick
209,BALL_LOSS_REMOVED_TEAMMATES_TO_PITCH_POSITION_MIDDLE_THIRD,BALL_LOSS_REMOVED_TEAMMATES_TO_PITCH_POSITION_MIDDLE_THIRD,0.001969319483662565,Contextual (BALL_LOSS_REMOVED_TEAMMATES),lower,0.2725955421735522,0.14285211424565214,0.0019730383,0.0029316932849690687,0.0,0.00536012418666898,,BALL_LOSS_REMOVED_TEAMMATES,Second Third
210,SUCCESSFUL_PASSES_TO_LANE_CENTER,SUCCESSFUL_PASSES_TO_LANE_CENTER,0.001956263531959908,Contextual (SUCCESSFUL_PASSES),higher,0.036253107711656275,0.278838424976326,0.0012281744,0.0012999631406605395,0.0,0.0,,SUCCESSFUL_PASSES,Centre
211,BYPASSED_OPPONENTS_BY_ACTION_LOW_PASS,BYPASSED_OPPONENTS_BY_ACTION_LOW_PASS,0.001955239321618364,Contextual (BYPASSED_OPPONENTS),higher,0.026972143847331077,0.3446843338319406,0.0,0.0008384071183613364,0.0,0.0,,BYPASSED_OPPONENTS,Low Pass
212,BALL_WIN_ADDED_TEAMMATES_DEFENDERS_FROM_OPPONENT_PACKING_ZONE_AM,BALL_WIN_ADDED_TEAMMATES_DEFENDERS_FROM_OPPONENT_PACKING_ZONE_AM,0.0019481825837383438,Contextual (BALL_WIN_ADDED_TEAMMATES_DEFEN),higher,0.757950486088983,0.14537947663201603,0.00079480285,0.0024882701589317405,0.0,0.010870057138578915,,BALL_WIN_ADDED_TEAMMATES_DEFENDERS,Attacking-Mid Zone
213,OFFENSIVE_TOUCHES_IN_LANE_LEFT_HALF_SPACE,OFFENSIVE_TOUCHES_IN_LANE_LEFT_HALF_SPACE,0.001946534454062831,Contextual (OFFENSIVE_TOUCHES),higher,0.17897571704452453,0.15539750074924488,0.002324623,0.001565002238295328,0.0,0.006527203632384682,,OFFENSIVE_TOUCHES,Left Half-Space
214,PXT_PASS_FAIL,Failed passes,0.0019374548813848966,Base KPI,higher,0.8301868334139672,0.048503523851588175,0.0033570852,0.0027268643448993186,0.0,0.008947462175643128,Sub-KPI of PXT_PASS. The negative change in goal threat due to passing to the opponent or offside. Every pass that lowers the goal threat and ends with the opponent/offside is counted here.,,
215,BALL_WIN_ADDED_TEAMMATES_FROM_OPPONENT_PACKING_ZONE_AM,BALL_WIN_ADDED_TEAMMATES_FROM_OPPONENT_PACKING_ZONE_AM,0.0019373222506825893,Contextual (BALL_WIN_ADDED_TEAMMATES),higher,0.2739983306699455,0.27531141477764254,0.00051940966,0.0018704269430804732,0.0,0.0010996799092419796,,BALL_WIN_ADDED_TEAMMATES,Attacking-Mid Zone
216,BYPASSED_OPPONENTS_FROM_LANE_RIGHT_HALF_SPACE,BYPASSED_OPPONENTS_FROM_LANE_RIGHT_HALF_SPACE,0.0019215625958799284,Contextual (BYPASSED_OPPONENTS),higher,0.2948341654668605,0.1783251219065103,0.0024987725,0.0020363160259308536,0.0,0.0016812463489404017,,BYPASSED_OPPONENTS,Right Half-Space
217,BALL_LOSS_REMOVED_TEAMMATES_DEFENDERS,Ball Loss Removed Teammates Defenders,0.0019168101403036941,Base KPI,higher,0.12469091608111521,0.2210244143019528,0.0018130096,0.0021112845886211637,0.0,0.0,Sum of teammate defenders removed from the game. Defender = last 5 players in the given scenario.,,
218,NEUTRAL_PASSES_FROM_LANE_LEFT_WING,NEUTRAL_PASSES_FROM_LANE_LEFT_WING,0.0019061517480270407,Contextual (NEUTRAL_PASSES),lower,0.010040000954520298,0.19882458986526855,0.0024078703,0.0006344699523993509,0.0,0.004114129723753912,,NEUTRAL_PASSES,Left Wing
219,DEF_PXT_SHOT,Opponent shots (Defensive Threat),0.00190517449664753,Base KPI,lower,0.23563237966874784,0.15525277807632154,0.0023470635,0.0018268984821835387,0.0,0.004878547986754134,The change in the threat of conceding through shots from the opponent. The change in the threat of conceding is distributed equally across all players on the field and we recommend not to assign this value to the players.,,
220,DEFENSIVE_TOUCHES_AT_PHASE_SECOND_BALL,DEFENSIVE_TOUCHES_AT_PHASE_SECOND_BALL,0.0019007681944679267,Contextual (DEFENSIVE_TOUCHES),higher,0.5381109298155533,0.1996882733629469,0.00011639066,0.002027894695389242,0.0,0.008903593925881914,,DEFENSIVE_TOUCHES,Second Ball Phase
221,BYPASSED_DEFENDERS_TO_LANE_LEFT_WING,BYPASSED_DEFENDERS_TO_LANE_LEFT_WING,0.0018968036861933975,Contextual (BYPASSED_DEFENDERS),lower,0.02542928879093723,0.18872219335916315,0.0013337899,0.003632277596937929,0.0,0.0,,BYPASSED_DEFENDERS,Left Wing
222,BALL_WIN_ADDED_TEAMMATES_DEFENDERS_FROM_PITCH_POSITION_FINAL_THIRD,BALL_WIN_ADDED_TEAMMATES_DEFENDERS_FROM_PITCH_POSITION_FINAL_THIRD,0.001895962098063717,Contextual (BALL_WIN_ADDED_TEAMMATES_DEFEN),lower,0.5012417580965596,0.16275729860378044,0.0023119065,0.0008679893128001705,0.0,0.0070896361347514425,,BALL_WIN_ADDED_TEAMMATES_DEFENDERS,Final Third
223,BALL_LOSS_REMOVED_TEAMMATES_BY_ACTION_HEADER,BALL_LOSS_REMOVED_TEAMMATES_BY_ACTION_HEADER,0.0018889897875422619,Contextual (BALL_LOSS_REMOVED_TEAMMATES),lower,0.3174622189784486,0.14493732168408716,0.0012466309,0.00034879097772911634,0.0,0.01460991797620359,,BALL_LOSS_REMOVED_TEAMMATES,Header
224,BYPASSED_OPPONENTS_TO_PACKING_ZONE_FBR,BYPASSED_OPPONENTS_TO_PACKING_ZONE_FBR,0.0018713718476472381,Contextual (BYPASSED_OPPONENTS),higher,0.9732782548700316,0.1601695508008799,0.00080131437,0.0012747515737713063,0.0,0.011748547245904906,,BYPASSED_OPPONENTS,Full-Back Right Zone
225,DEFENSIVE_TOUCHES_IN_LANE_CENTER,DEFENSIVE_TOUCHES_IN_LANE_CENTER,0.001865188282112399,Contextual (DEFENSIVE_TOUCHES),higher,0.6122532136663305,0.07760133948065155,0.0007994533,0.0008558849391166651,0.0,0.020942741798316122,,DEFENSIVE_TOUCHES,Centre
226,BALL_WIN_NUMBER_FROM_OPPONENT_PACKING_ZONE_CM,BALL_WIN_NUMBER_FROM_OPPONENT_PACKING_ZONE_CM,0.0018641888934461822,Contextual (BALL_WIN_NUMBER),higher,0.31310617890746906,0.1685022107791272,0.0014497002,0.001459232054511174,0.0,0.007611357112226935,,BALL_WIN_NUMBER,Centre-Mid Zone
227,NEUTRAL_PASSES_BY_ACTION_CLEARANCE,NEUTRAL_PASSES_BY_ACTION_CLEARANCE,0.0018594118169448328,Contextual (NEUTRAL_PASSES),lower,0.6476984990090815,0.029642005940358485,0.004652945,0.0,0.0,0.012523729508080672,,NEUTRAL_PASSES,Clearance with Foot
228,BYPASSED_OPPONENTS_NUMBER_FROM_LANE_LEFT_WING,BYPASSED_OPPONENTS_NUMBER_FROM_LANE_LEFT_WING,0.0018575670516732818,Contextual (BYPASSED_OPPONENTS_NUMBER),lower,0.03404757396979348,0.1554965478607119,0.0040349355,0.0009025412127415429,0.0,0.0,,BYPASSED_OPPONENTS_NUMBER,Left Wing
229,UNSUCCESSFUL_PASSES_FROM_LANE_CENTER,UNSUCCESSFUL_PASSES_FROM_LANE_CENTER,0.001856860716923104,Contextual (UNSUCCESSFUL_PASSES),lower,0.5507067632636733,0.08173134560045485,0.0018428938,0.0010078080970502908,0.0,0.015692350232692,,UNSUCCESSFUL_PASSES,Centre
